,Какая «большая цель» Росатома может вдохновить Вас на работу и наполнить смыслом ваш ежедневный труд?
0,Процветание страны и её народов
1,Повышение материального благосостояния страны и моего в частности
2,"Фундаментальные открытия в области энергоресурсов, которые позволят перевернуть общественное сознание."
3,Профессиональное развитие
4,1. Создание новой технологической платформы/технологического уклада использования атомной энергии в XXI в
5,"Команда, которая готова работать сообща и коллективно решать сложные вопросы. Правильное разделение труда. Качество продукции должно быть выше исполнения сроков."
6,Качество и новые прогрессивные технологии.
7,"""НИКОГДА НЕ ОСТАНАВЛИВАЙСЯ НА ДОСТИГНУТОМ,ИДИ ВСЕГДА НА ШАГ ВПЕРЕДИ СВОИХ КОНКУРЕНТОВ"""
8,"Стабильная, хорошо оплачиваемая, понятная и приносящая ежедневно успешные результаты работа"
9,"Каждый человек должен чувствовать свою нужность, значимость в проекте ежедневно! От каждого из нас зависит и командная работа проекта, и результаты деятельности Росатома. Росатом ценит каждого Работника! Цель Росатома - сделать такой эффективный механизм стимулирования труда каждого работника, который сможет побудить каждого Работника ежедневно командой ""сворачивать горы""!"
10,"Она уже есть: ""Сильней Росатом - сильней Россия!"". Работаю в одной из самых высокотехнологичных компаний, являющейся локомотивом развития и суверенности страны. Хочется больше информации о вкладе Росатома в экономику, оборону, социалку, бюджеты в сравнении с другими компаниями России."
11,Сокращение себестоимости и времени протекания процессов
12,Лидерство на глобальных рынках
13,Новые продукты
14,Повышение благосостояния жителей России
15,Модернизация производства
16,"Ценность сотрудника, отдавшего большую часть жизни отрасли, после ухода на пенсию. Чувство спины на старости."
17,"Создание единой базы аккредитованных поставщиков товаров. Очень много на рынке поставщиков, кто предлагает не качественный товар, в следствии чего, нарушаются сроки сдачи продукции. А если бы комиссия выезжала, смотрела на возможности поставщика, его продукции, давала бы заключение о возможности закупки у данного поставщика, то было бы меньше брака."
18,Ввод в эксплуатацию в г. Певек ПАТЭС
19,"Становление мировым лидером в области строительства АЭС. Становление бренда ROSATOM на глобальной арене гарантией качества, безопасности, выполнения точно в срок (ответственности)."
20,Затрудняюсь ответить
21,"Меня вдохновляет ""большая цель"" Росатома такая как развитие центра ядерной медицины в Боливии. Хочу в Боливию"
