,Answers,Number of Words,answers_without_stopwords,cleaned_answers,cleaned_answers_lemm,Topic,Count,Name,words
0,Процветание страны и её народов,5,Процветание страны её народов,процветание страны её народов,процветание страна её народ,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
1,Повышение материального благосостояния страны и моего в частности,8,Повышение материального благосостояния страны моего частности,повышение материального благосостояния страны моего частности,повышение материальный благосостояние страна мой частность,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
2,Повышение благосостояния жителей России,4,Повышение благосостояния жителей России,повышение благосостояния жителей россии,повышение благосостояние житель россия,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
3,Рост благосостояния страны.,3,Рост благосостояния страны.,рост благосостояния страны ,рост благосостояние страна,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
4,"Создание рабочих мест, рост производства.",5,"Создание рабочих мест, рост производства.",создание рабочих мест  рост производства ,создание рабочий место рост производство,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
5,Предотвращение негативного влияния на Окружающую среду,6,Предотвращение негативного влияния Окружающую среду,предотвращение негативного влияния окружающую среду,предотвращение негативный влияние окружающий среда,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
6,Гарантия обеспечения рабочими местами и повышение благосостояния специалистов в городах присутствия (ЦФО-3),12,Гарантия обеспечения рабочими местами повышение благосостояния специалистов городах присутствия (ЦФО-3),гарантия обеспечения рабочими местами повышение благосостояния специалистов городах присутствия  цфо  ,гарантия обеспечение рабочий место повышение благосостояние специалист город присутствие цфо,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
7,Повысить уровень благосостояния всех россиян и увеличить объем потребительской корзины в 6 раз,13,Повысить уровень благосостояния россиян увеличить объем потребительской корзины 6,повысить уровень благосостояния россиян увеличить объем потребительской корзины ,повысить уровень благосостояние россиянин увеличить объём потребительский корзина,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
8,"Строительство Смоленской АЭС-2, повышение благосостояния ВСЕХ работников Росатома",8,"Строительство Смоленской АЭС-2, повышение благосостояния ВСЕХ работников Росатома",строительство смоленской аэс   повышение благосостояния всех работников росатома,строительство смоленский аэс повышение благосостояние весь работник росатом,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
9,достижение высокого экономического и социального уровня развития страны в целом,10,достижение высокого экономического социального уровня развития страны целом,достижение высокого экономического социального уровня развития страны целом,достижение высокий экономический социальный уровень развитие страна целое,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
10,Улучшение качество услуг,3,Улучшение качество услуг,улучшение качество услуг,улучшение качество услуга,1,91,1_благосостояние_улучшение_жизнь_уровень,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
