,Answers,words
0,Процветание страны и её народов,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
1,Повышение материального благосостояния страны и моего в частности,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
2,Повышение благосостояния жителей России,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
3,Рост благосостояния страны.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
4,"Создание рабочих мест, рост производства.","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
5,Предотвращение негативного влияния на Окружающую среду,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
6,Гарантия обеспечения рабочими местами и повышение благосостояния специалистов в городах присутствия (ЦФО-3),"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
7,Повысить уровень благосостояния всех россиян и увеличить объем потребительской корзины в 6 раз,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
8,"Строительство Смоленской АЭС-2, повышение благосостояния ВСЕХ работников Росатома","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
9,достижение высокого экономического и социального уровня развития страны в целом,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
10,Улучшение качество услуг,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
11,Повышение благосостояния инженерно-технических работников.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
12,достижение материального благополучия,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
13,Процветание России. Повышение жизненого уровня.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
14,Процветание России. Повышение уровня жизни.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
15,Развитие промышленности и рост благосостояния населения.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
16,обеспечение достойного уровня жизни каждого гражданина,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
17,Повышение благосостояния сотрудников. Наиболее высокий уровень з/п по РФ среди линейных и средних специалистов.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
18,Улучшение благосостояния рядовых сотрудников и страны.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
19,Направленная на долгосрочный рост благополучия отрасли и отражающаяся на росте благосостояния её работников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
20,"Цель, направленная на долгосрочный рост благополучия отрасли и отражающаяся на благосостоянии её работников","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
21,Благосостояние жителей РФ,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
22,Улучшение качества жизни людей за счет влияния на экологию,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
23,Улучшение качества жизни в мире,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
24,Улучшить экологию планеты.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
25,Улучшение благосостояния ВСЕХ работников Росатома.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
26,Нести изменения качества жизни,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
27,Рост благосостояния сотрудников ГК и россиян в целом. Устранение нехватки медицинских специалистов в ЗАТО,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
28,Улучшение жизни людей в стране,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
29,"Социальная значимость, к примеру чтобы завод помогал городу, а Росатом стране в целом","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
30,"Повышение качества жизни в городе Северске, увеличение рабочих мест на градообразующем предприятии.","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
31,Улучшение качества жизни людей,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
32,Сделать счастливым каждого рядового работника предприятий атомной отрасли,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
33,Лидерство России. Благополучие будущих поколений,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
34,Повышение качества жизни жителей РФ,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
35,Видимое улучшение жизни вокруг меня.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
36,Повышение благосостояния и качества жизни граждан России.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
37,Постоянное повышение благосостояния сотрудников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
38,"Повышение благосостояния и качества жизни граждан РФ, улучшение экологического состояния окружающей среды в РФ и во всем мире","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
39,улучшение благосостояния своих сотрудников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
40,Повышение благополучия и благосостояния россиян.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
41,Изменение качества жизни людей в мире - в лучшую сторону,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
42,Улучшение уровня жизни и безопасности в России.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
43,"Улучшение жизни граждан, экология.","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
44,1. Улучшение экологической обстановки на планете Земля; 2. Улучшение уровня благосостояния жителей России.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
45,Повышение качества жизни работников всей отрасли и России в целом,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
46,Повышение уровня и качества жизни граждан нашей страны.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
47,Связанная с улучшением экологической ситуации в мире,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
48,"Проект, направленный на улучшение финансового состояния корпорации и сотрудников","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
49,Улучшение уровня жизни по всей стране.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
50,Повышение благосостояния работников отрасли.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
51,Повысить благосостояние его работников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
52,Бесплатное электричество для жителей РФ,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
53,Повышение благосостояния и социального статуса своих сотрудников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
54,мир и процветание,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
55,Повышение уровня жизни работников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
56,Увеличение благосостояния населения России,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
57,Возрождение России как великого государства с высоким благосостоянием и уровнем жизни ВСЕХ граждан нашей страны.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
58,"Польза для человечества. Поднятие уровня жизни человека, особенно работкника Росатома.","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
59,Повышение благосостояния сотрудников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
60,Повышение уровня жизни в стране,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
61,Уважение к персоналу отрасли на всех уровнях управления.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
62,Максимальное увеличение благосостояния своих сотрудников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
63,увеличение влияния на улучшение экологии,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
64,Повысить уровень жизни в атомных городах. Обеспечить стабильное будущие атомных городов,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
65,"Развитие атомной отрасли в России, для благополучия и процветания населения страны","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
66,Социальное развитие городов спутников. Улучшение жизни населения городов спутников.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
67,Повышение уровня жизни,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
68,Улучшения качества жизни работников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
69,Благополучие сотрудников предприятия и жителелей города,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
70,Когда росатом сможет быть на уровне воплощения идей уровня Илона Маска,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
71,Повышение престижа РФ за рубежом,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
72,направленная на улучшение благосостояния инженера,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
73,"Перспективы, стабильность, материальное благополучие","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
74,"Снижение уровня бюрократии, улучшение условия труда, повышение уровня благосостояния работников","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
75,сохранение и улучшение экологии планеты.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
76,Улучшение благосостояния сотрудников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
77,благополучие каждого - благополучие страны.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
78,"Участие компании в вопросах экологии, улучшение экологии в стране и мире. Повышение уровня жизни в стране.","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
79,Развитие страны - общего благосостояния.,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
80,"Улучшение окружающей среды, улучшение качества/уровня жизни граждан в стране.","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
81,Повышение уровня жизни сотрудников,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
82,"Улучшение уровня жизни в нашем городе и в стране в целом, не только в Москве","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
83,улучшение жизни в России,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
84,повышение уровня жизни населения,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
85,Постоянное улучшение качества производства и условий труда сотрудников отрасли,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
86,"Развитие городов, борьба с бедностью","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
87,повышение качества жизни граждан ГФ и сотрудников ГК в частности,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
88,Повышение уровня зп,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
89,"Выход на мировой уровень. Повышение социального уровня жизни, благостояния сотрудников Росатома и Гринатома.","['благосостояние', 'улучшение', 'жизнь', 'уровень']"
90,Обеспечение 80% рейтинга президента,"['благосостояние', 'улучшение', 'жизнь', 'уровень']"
91,"Фундаментальные открытия в области энергоресурсов, которые позволят перевернуть общественное сознание.","['разработка', 'технология', 'атомный', 'так']"
92,"Обеспечение безопасности миру в эксплуатации атомной отрасли. Разработка технологий в медицине, помогающих излечить серьезные заболевания.","['разработка', 'технология', 'атомный', 'так']"
93,"Кардинальное изменение мирового топливного баланса в пользу ядерных технологий (синтез, реакторы с воспроизводством топлива и утилизацией минорных актинидов).","['разработка', 'технология', 'атомный', 'так']"
94,Строительство на территории страны мусороперерабатывающих заводов и формирование сознания у населения по идее сортировки мусора.,"['разработка', 'технология', 'атомный', 'так']"
95,"Может несколько глобальных целей: 1. Усовершенствование инфраструктуры Крайнего Севера и Арктики (в плане развития АСММ и других мощных автономных источников энергии, ледокольного флота, инфраструктуры поселений, устойчивой к действию факторов окружающей среды); 2. Разработка технологий для освоения океана (над и подводные лаборатории и т.п.) с целью получения доступа к природным ресурсам; 3.Работа над плазменными технологиями переработки мусора; 4.Работа над возобновляемыми видами топлива для массового транспорта.","['разработка', 'технология', 'атомный', 'так']"
96,"Создание компактной ""бытовой"" энергетической установки с высоким коэффициентом полезного действия и инфраструктуры по их обслуживанию и сопровождению.","['разработка', 'технология', 'атомный', 'так']"
97,"Идея мирного атома (уход от военных проектов) Идея малой, технологичной и безопасной атомной энергетики Идея замкнутого цикла (безотходность) Идея в разы снизить себестоимость электроэнергии для предприятий и населения","['разработка', 'технология', 'атомный', 'так']"
98,"Поиск, разработка, внедрение новых источников энергии. Всеобщая электрификация страны и удешевление использования электроэнергии для предприятий и населения. Разработка двигателей и других технических устройств на совершенно новых физических принципах работы. Изобретение и разработка оружия, дающего кардинальное превосходство над оружием любых потенциальных противников России. Самое активное участие корпорации в освоении космического пространства.","['разработка', 'технология', 'атомный', 'так']"
99,"Безопасная атомная энергетика в РФ и странах партнеров.Компактные и доступные по цене новые источники электроэнергии, для использования в гражданской промышленности (""ядерные батарейки"" для авто, обеспечение энергией удаленных от городской инфраструктуры объектов) Освоение космоса. Строительство космических станций с новыми источниками энергии обеспечивающих долгую автономность объектов.","['разработка', 'технология', 'атомный', 'так']"
100,"обеспечение ""массовости"" выработки электрической и тепловой энергии атомными станциями с целью удешевления ее стоимости для конечного потребителя и ее доступности.","['разработка', 'технология', 'атомный', 'так']"
101,"Обеспечение безопасной эксплуатации объектов атомной энергии при безусловном адекватном, а не мизерном росте заработной платы сотрудников отрасли.","['разработка', 'технология', 'атомный', 'так']"
102,"Росатом в СССР был локомотивом в научных открытиях и разработках, в различных сферах нашей жизнедеятельности (медицина, космос, робототехника, автоматизация, машиностроение , энергетика, нанотехнологии, безопасность, биология и т.д.). Хотелось бы чтобы Росатом вернул свои позиции.","['разработка', 'технология', 'атомный', 'так']"
103,"Польза для гражданского общества. Например, создание опреснительных комплексов большой мощности; реконструкция/создание предприятий пищевой промышленности (молоко, соль и т.п.); природоохранные мероприятия: предприятия, перерабатывающие накопленные и постоянно поступающие отходы - РТИ, нефтешламы, асбестовые отходы,бытовой мусор; производство удобрений; переработка медицинских отходов; производство особо чистых газов (ксенон, криптон, неон, гелий) и т.п.; переработка промышленных сточных вод.","['разработка', 'технология', 'атомный', 'так']"
104,"Компактный ядерный энергоисточник, непосредственно использующий энергию гамма-излучения (это нерешенная научно-техническая задача). По сути - превращение любых ""отходов-излучателей"" в энергоисточник и создание вместо ""могильников РАО"" ""РАО-электростанций"". Исследование физики полураспада, использование случайности распада отдельно взятого ядра как генератор случайных чисел, исследование распределения распада, интеграция физики полураспада в архитектуру вычислительных систем при создании искусственного интеллекта.","['разработка', 'технология', 'атомный', 'так']"
105,"повышение благосостояния жителей РФ, работа по выводу страны на уровень мировых лидеров в части здравоохранения, технологий, социального обеспечения, культуры и образования, качества жизни. развитие инновационной продукции, внедрение новых технологий, научно-исследовательская работа","['разработка', 'технология', 'атомный', 'так']"
106,"Обеспечение потребителей в Арктической зоне России надежными, качественными и экономически конкурентоспособными атомными энергоисточниками малой и сверх-малой мощности, предназначенными для эксплуатации в экстремальных природно-климатических условиях","['разработка', 'технология', 'атомный', 'так']"
107,"Реальный рост пенсий отраслевых пенсионеров. Крупный экологический проект (технология восстановления лесов, очистки рек, водоемов-охладителей и т.п.)","['разработка', 'технология', 'атомный', 'так']"
108,Своим примером / успехами показать необходимость прививания осмысленного подхода к управлению в других отраслях и в стране в целом.,"['разработка', 'технология', 'атомный', 'так']"
109,"В рамках цифровизации и демократизации государства кажется интересной цель - разработка программных продуктов, обеспечивающих легитимный подсчет голосов на выборах, а также развития проектов цифрового государства (услуг предприятиям и населению через интернет, телефон).","['разработка', 'технология', 'атомный', 'так']"
110,"Производство изотопов медицинского назначения и знание, что их активно применяют в России. Вклад в повышение обороноспособности страны. Завоевание мирового лидерства в области энергетики, в т.ч. разработка новых источников энергии и ядерных технологий.","['разработка', 'технология', 'атомный', 'так']"
111,"Росатом: - мировой лидер в строительстве АЭС - корпорация, формирующая тренды для внутренних и внешних рынков (цифра, ядерная медицина, наследие, новые материалы и т.п.) - интегратор науки и технологий (поддержка и развитие фундаментальной науки и технологий)","['разработка', 'технология', 'атомный', 'так']"
112,"Улучшение качества жизни: - развитие новых технологий в жизненно важных сферах (медицина, транспорт, образование, обеспечение продуктами питания и т.д.) и их доступность для населения - решение экологических проблем","['разработка', 'технология', 'атомный', 'так']"
113,Сооружение как можно большего числа энергетических объектов использования атомной энергии на реакторах новейших разработок с соблюдением высшего приоритета атомной энергетики - безопасности и качества,"['разработка', 'технология', 'атомный', 'так']"
114,"Глобальное международное доминирование компании в сфере не только атомной, но и в большей степени альтернативной энергетики, основанное на инновационных и передовых научных разработках","['разработка', 'технология', 'атомный', 'так']"
115,Безопасное использование атомной энергии и утилизации отходов и как следствие отсутствие проблем у наших будущих поколений.,"['разработка', 'технология', 'атомный', 'так']"
116,"Выполнение задач по обороноспособности страны, включая обеспечение проводки судов атомными ледоколами по северному морскому пути.","['разработка', 'технология', 'атомный', 'так']"
117,"1. Улучшение экологической ситуации в России и в мире. 2. Улучшение качества жизни населения России и мира с помощью производства электрической энергии, разработки и реализации доступных средств ядерной медицины и информационных технологий.","['разработка', 'технология', 'атомный', 'так']"
118,"Гибкая разработка и производство (полный цикл от идеи до продукта) новых продуктов для устойчивого развития общества в таких сферах как: экология, безопасность, эффективное использование энергоресурсов, здравоохранение.","['разработка', 'технология', 'атомный', 'так']"
119,"Оздоровление экономики, экологии, условий жизни. ЭКО-ориентированное устойчивое к манипуляциям общество. Эко-безопасное электричество для всей планеты. Инструмент влияния на поведение корпораций и стран уничтожающих планету. Доступные автономных поселений в любых условиях - технологии для дальних космических перелётов.","['разработка', 'технология', 'атомный', 'так']"
120,"Понимание необходимости результатов деятельности каждого сотрудника для: - обеспечения безопасности нашей страны; - реализации преимущества России по сравнению с другими странами в науке, технологиях, разработках и т.п.; - безусловного и постоянного развития науки, технологий, разработок и т.п.","['разработка', 'технология', 'атомный', 'так']"
121,"Обеспечение потребителей расположенных в зонах децентрализованного энергоснабжения надежными, качественными и экономически конкурентоспособными атомными энергоисточниками малой мощности","['разработка', 'технология', 'атомный', 'так']"
122,Снижение кадрового голода на предприятиях ГК Росатом и популяризация инженерно-технических специальностей среди школьников.,"['разработка', 'технология', 'атомный', 'так']"
123,"Зарубежные контакты,выставки,конференции Развиние новых направлений в отрасти в сфере IT, проектирования, интернет технологий и т.п Повышение з/п !!!","['разработка', 'технология', 'атомный', 'так']"
124,"Какие то глобальные инициативы а-ля ""Атомная энергия в каждый дом""))) Но вообще, цель по продвижению атомной энергетики как одной из самых сбалансированных по критериям цена-безопасность-эффективность","['разработка', 'технология', 'атомный', 'так']"
