,Answers,Number of Words,answers_without_stopwords,cleaned_answers
0,Процветание страны и её народов,5,Процветание страны её народов,процветание страны её народов
1,Повышение материального благосостояния страны и моего в частности,8,Повышение материального благосостояния страны моего частности,повышение материального благосостояния страны моего частности
2,"Фундаментальные открытия в области энергоресурсов, которые позволят перевернуть общественное сознание.",10,"Фундаментальные открытия области энергоресурсов, которые позволят перевернуть общественное сознание.",фундаментальные открытия области энергоресурсов  которые позволят перевернуть общественное сознание 
3,Профессиональное развитие,2,Профессиональное развитие,профессиональное развитие
4,1. Создание новой технологической платформы/технологического уклада использования атомной энергии в XXI в,12,1. Создание новой технологической платформы/технологического уклада использования атомной энергии XXI,  создание новой технологической платформы технологического уклада использования атомной энергии xxi
5,"Команда, которая готова работать сообща и коллективно решать сложные вопросы. Правильное разделение труда. Качество продукции должно быть выше исполнения сроков.",20,"Команда, которая готова работать сообща коллективно решать сложные вопросы. Правильное разделение труда. Качество продукции должно выше исполнения сроков.",команда  которая готова работать сообща коллективно решать сложные вопросы  правильное разделение труда  качество продукции должно выше исполнения сроков 
6,Качество и новые прогрессивные технологии.,5,Качество новые прогрессивные технологии.,качество новые прогрессивные технологии 
7,"""НИКОГДА НЕ ОСТАНАВЛИВАЙСЯ НА ДОСТИГНУТОМ,ИДИ ВСЕГДА НА ШАГ ВПЕРЕДИ СВОИХ КОНКУРЕНТОВ""",11,"""НИКОГДА НЕ ОСТАНАВЛИВАЙСЯ НА ДОСТИГНУТОМ,ИДИ ВСЕГДА НА ШАГ ВПЕРЕДИ СВОИХ КОНКУРЕНТОВ""", никогда не останавливайся на достигнутом иди всегда на шаг впереди своих конкурентов 
8,"Стабильная, хорошо оплачиваемая, понятная и приносящая ежедневно успешные результаты работа",10,"Стабильная, оплачиваемая, понятная приносящая ежедневно успешные результаты работа",стабильная  оплачиваемая  понятная приносящая ежедневно успешные результаты работа
9,"Каждый человек должен чувствовать свою нужность, значимость в проекте ежедневно! От каждого из нас зависит и командная работа проекта, и результаты деятельности Росатома. Росатом ценит каждого Работника! Цель Росатома - сделать такой эффективный механизм стимулирования труда каждого работника, который сможет побудить каждого Работника ежедневно командой ""сворачивать горы""!",47,"Каждый человек должен чувствовать нужность, значимость проекте ежедневно! От каждого зависит командная работа проекта, результаты деятельности Росатома. Росатом ценит каждого Работника! Цель Росатома - сделать эффективный механизм стимулирования труда каждого работника, который сможет побудить каждого Работника ежедневно командой ""сворачивать горы""!",каждый человек должен чувствовать нужность  значимость проекте ежедневно  от каждого зависит командная работа проекта  результаты деятельности росатома  росатом ценит каждого работника  цель росатома   сделать эффективный механизм стимулирования труда каждого работника  который сможет побудить каждого работника ежедневно командой  сворачивать горы  
10,"Она уже есть: ""Сильней Росатом - сильней Россия!"". Работаю в одной из самых высокотехнологичных компаний, являющейся локомотивом развития и суверенности страны. Хочется больше информации о вкладе Росатома в экономику, оборону, социалку, бюджеты в сравнении с другими компаниями России.",38,"Она есть: ""Сильней Росатом - сильней Россия!"". Работаю одной самых высокотехнологичных компаний, являющейся локомотивом развития суверенности страны. Хочется информации вкладе Росатома экономику, оборону, социалку, бюджеты сравнении другими компаниями России.",она есть   сильней росатом   сильней россия    работаю одной самых высокотехнологичных компаний  являющейся локомотивом развития суверенности страны  хочется информации вкладе росатома экономику  оборону  социалку  бюджеты сравнении другими компаниями россии 
11,Сокращение себестоимости и времени протекания процессов,6,Сокращение себестоимости времени протекания процессов,сокращение себестоимости времени протекания процессов
12,Лидерство на глобальных рынках,4,Лидерство глобальных рынках,лидерство глобальных рынках
13,Новые продукты,2,Новые продукты,новые продукты
14,Повышение благосостояния жителей России,4,Повышение благосостояния жителей России,повышение благосостояния жителей россии
15,Модернизация производства,2,Модернизация производства,модернизация производства
16,"Ценность сотрудника, отдавшего большую часть жизни отрасли, после ухода на пенсию. Чувство спины на старости.",15,"Ценность сотрудника, отдавшего большую часть жизни отрасли, ухода пенсию. Чувство спины старости.",ценность сотрудника  отдавшего большую часть жизни отрасли  ухода пенсию  чувство спины старости 
17,"Создание единой базы аккредитованных поставщиков товаров. Очень много на рынке поставщиков, кто предлагает не качественный товар, в следствии чего, нарушаются сроки сдачи продукции. А если бы комиссия выезжала, смотрела на возможности поставщика, его продукции, давала бы заключение о возможности закупки у данного поставщика, то было бы меньше брака.",48,"Создание единой базы аккредитованных поставщиков товаров. Очень рынке поставщиков, предлагает качественный товар, следствии чего, нарушаются сроки сдачи продукции. А комиссия выезжала, смотрела возможности поставщика, продукции, давала заключение возможности закупки данного поставщика, меньше брака.",создание единой базы аккредитованных поставщиков товаров  очень рынке поставщиков  предлагает качественный товар  следствии чего  нарушаются сроки сдачи продукции  а комиссия выезжала  смотрела возможности поставщика  продукции  давала заключение возможности закупки данного поставщика  меньше брака 
18,Ввод в эксплуатацию в г. Певек ПАТЭС,7,Ввод эксплуатацию г. Певек ПАТЭС,ввод эксплуатацию г  певек патэс
19,"Становление мировым лидером в области строительства АЭС. Становление бренда ROSATOM на глобальной арене гарантией качества, безопасности, выполнения точно в срок (ответственности).",21,"Становление мировым лидером области строительства АЭС. Становление бренда ROSATOM глобальной арене гарантией качества, безопасности, выполнения точно срок (ответственности).",становление мировым лидером области строительства аэс  становление бренда rosatom глобальной арене гарантией качества  безопасности  выполнения точно срок  ответственности  
20,Затрудняюсь ответить,2,Затрудняюсь ответить,затрудняюсь ответить
21,"Меня вдохновляет ""большая цель"" Росатома такая как развитие центра ядерной медицины в Боливии. Хочу в Боливию",16,"Меня вдохновляет ""большая цель"" Росатома такая развитие центра ядерной медицины Боливии. Хочу Боливию",меня вдохновляет  большая цель  росатома такая развитие центра ядерной медицины боливии  хочу боливию
22,"Росатом делает идеологию будущего, а правильную жизнь- сейчас",8,"Росатом делает идеологию будущего, правильную жизнь-",росатом делает идеологию будущего  правильную жизнь 
23,Я и так вдохновлен!,4,Я вдохновлен!,я вдохновлен 
24,"Осознавая то какой вклад вносит Росатом в обеспечение безопасности нашей страны, уже сейчас осознаю важность нашей работы.",17,"Осознавая вклад вносит Росатом обеспечение безопасности нашей страны, осознаю важность нашей работы.",осознавая вклад вносит росатом обеспечение безопасности нашей страны  осознаю важность нашей работы 
